#Position (bp)	mapping quality
1.6289824575E9	0.0
1.6367210915E9	0.0
1.6444597255E9	0.0
1.6521983595E9	0.0
1.6599369935E9	0.0
1.6676756275E9	0.0
1.6739720795E9	0.0
1.6764192455E9	0.0
1.6764583035E9	0.0
1.676565753E9	0.0
1.6766737005E9	0.0
1.677988402E9	0.0
1.6831528955E9	0.0
1.6908915295E9	0.0
1.6986301635E9	0.0
1.7063687975E9	0.0
1.7141074315E9	0.0
1.7218460655E9	0.0
1.7295846995E9	0.0
1.7373233335E9	0.0
1.7450619675E9	0.0
1.7528006015E9	0.0
1.7605392355E9	0.0
1.7682778695E9	0.0
1.7760165035E9	0.0
1.7837551375E9	0.0
1.7914937715E9	0.0
1.7992324055E9	0.0
1.806796185E9	0.0
1.810584805E9	0.0
1.8107596595E9	0.0
1.8147096735E9	0.0
1.8224483075E9	0.0
1.8301869415E9	0.0
1.8379255755E9	0.0
1.8456642095E9	0.0
1.8534028435E9	0.0
1.8611414775E9	0.0
1.8688801115E9	0.0
1.8766187455E9	0.0
1.8843573795E9	0.0
1.8920960135E9	0.0
1.8998346475E9	0.0
1.9075732815E9	0.0
1.9153119155E9	0.0
1.9230505495E9	0.0
1.9307891835E9	0.0
1.9385278175E9	0.0
1.9440813595E9	0.0
1.9458157425E9	0.0
1.9480008345E9	0.0
1.9540050855E9	0.0
1.9617437195E9	0.0
1.9694823535E9	0.0
1.9772209875E9	0.0
1.9849596215E9	0.0
1.9926982555E9	0.0
2.0004368895E9	0.0
2.0081755235E9	0.0
2.0159141575E9	0.0
2.0236527915E9	0.0
2.0313914255E9	0.0
2.0391300595E9	0.0
2.0468686935E9	0.0
2.0546073275E9	0.0
2.0623459615E9	0.0
2.0700845955E9	0.0
2.076547561E9	0.0
2.080416878E9	0.0
2.0855618635E9	0.0
2.0933004975E9	0.0
2.1010391315E9	0.0
2.1087777655E9	0.0
2.1165163995E9	0.0
2.1242550335E9	0.0
2.1319936675E9	0.0
2.1397323015E9	0.0
2.1474709355E9	0.0
2.1552095695E9	0.0
2.1629482035E9	0.0
2.1706868375E9	0.0
2.1784254715E9	0.0
2.1861641055E9	0.0
2.19176948E9	0.0
2.195638797E9	0.0
2.2016413735E9	0.0
2.2093800075E9	0.0
2.2171186415E9	0.0
2.2248572755E9	0.0
2.2325959095E9	0.0
2.2403345435E9	0.0
2.2480731775E9	0.0
2.2558118115E9	0.0
2.2635504455E9	0.0
2.2712890795E9	0.0
2.2790277135E9	0.0
2.2867663475E9	0.0
2.2945049815E9	0.0
2.299461777E9	0.0
2.30065011E9	0.0
2.300846699E9	0.0
2.30104802E9	0.0
2.3012506315E9	0.0
2.301366714E9	0.0
2.301405549E9	0.0
2.3015117315E9	0.0
